@relation InitialSetByLHS

@attribute yarnyarn.timeline-service.client.retry-interval-ms numeric
@attribute mapredmapreduce.reduce.shuffle.retry-delay.max.ms numeric
@attribute mapredmapreduce.jobtracker.jobhistory.block.size numeric
@attribute mapredmapreduce.reduce.shuffle.parallelcopies numeric
@attribute mapredmapreduce.job.jvm.numtasks numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-healthy-disks numeric
@attribute mapredmapreduce.tasktracker.map.tasks.maximum numeric
@attribute mapredmapreduce.reduce.shuffle.read.timeout numeric
@attribute mapredmapreduce.job.reduces numeric
@attribute yarnyarn.resourcemanager.connect.retry-interval.ms numeric
@attribute yarnyarn.dispatcher.drain-events.timeout numeric
@attribute yarnyarn.client.failover-retries-on-socket-timeouts numeric
@attribute mapredmapreduce.job.speculative.slowtaskthreshold numeric
@attribute mapredmapreduce.jobtracker.heartbeats.in.second numeric
@attribute mapredmapreduce.job.max.split.locations numeric
@attribute mapredyarn.app.mapreduce.client.max-retries numeric
@attribute yarnyarn.scheduler.maximum-allocation-mb numeric
@attribute yarnyarn.timeline-service.handler-thread-count numeric
@attribute mapredmapreduce.job.end-notification.max.attempts numeric
@attribute mapredmapreduce.job.reducer.unconditional-preempt.delay.sec numeric
@attribute yarnyarn.resourcemanager.client.thread-count numeric
@attribute mapredmapreduce.job.maxtaskfailures.per.tracker numeric
@attribute mapredmapreduce.reduce.shuffle.connect.timeout numeric
@attribute mapredmapreduce.shuffle.max.threads numeric
@attribute mapredmapreduce.shuffle.connection-keep-alive.timeout numeric
@attribute yarnyarn.resourcemanager.resource-tracker.client.thread-count numeric
@attribute yarnyarn.resourcemanager.connect.max-wait.ms numeric
@attribute yarnyarn.nodemanager.resource.percentage-physical-cpu-limit numeric
@attribute yarnyarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms numeric
@attribute mapredmapreduce.jobhistory.loadedjobs.cache.size numeric
@attribute mapredmapreduce.task.timeout numeric
@attribute yarnyarn.nodemanager.container-manager.thread-count numeric
@attribute mapredmapreduce.map.memory.mb numeric
@attribute mapredmapreduce.task.io.sort.mb numeric
@attribute mapredmapreduce.jobtracker.expire.trackers.interval numeric
@attribute mapredmapreduce.map.skip.maxrecords numeric
@attribute yarnyarn.nodemanager.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobhistory.datestring.cache.size numeric
@attribute yarnyarn.client.nodemanager-connect.retry-interval-ms numeric
@attribute mapredmapreduce.jobtracker.retiredjobs.cache.size numeric
@attribute mapredmapreduce.job.reduce.slowstart.completedmaps numeric
@attribute mapredmapreduce.task.io.sort.factor numeric
@attribute yarnyarn.nodemanager.localizer.client.thread-count numeric
@attribute yarnyarn.nodemanager.resource.memory-mb numeric
@attribute mapredmapreduce.input.lineinputformat.linespermap numeric
@attribute mapredmapreduce.jobtracker.jobhistory.lru.cache.size numeric
@attribute mapredmapreduce.task.merge.progress.records numeric
@attribute mapredmapreduce.shuffle.max.connections numeric
@attribute mapredmapreduce.reduce.memory.mb numeric
@attribute yarnyarn.timeline-service.client.max-retries numeric
@attribute mapredmapreduce.jobtracker.maxtasks.perjob numeric
@attribute yarnyarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage numeric
@attribute mapredmapreduce.reduce.shuffle.input.buffer.percent numeric
@attribute mapredmapreduce.reduce.cpu.vcores numeric
@attribute mapredmapreduce.job.end-notification.max.retry.interval numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size numeric
@attribute yarnyarn.nodemanager.process-kill-wait.ms numeric
@attribute yarnyarn.nodemanager.delete.thread-count numeric
@attribute mapredmapreduce.tasktracker.indexcache.mb numeric
@attribute mapredmapreduce.jobhistory.joblist.cache.size numeric
@attribute yarnyarn.client.nodemanager-client-async.thread-pool-max-size numeric
@attribute mapredmapreduce.client.submit.file.replication numeric
@attribute yarnyarn.resourcemanager.zk-retry-interval-ms numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.ttl-interval-ms numeric
@attribute yarnyarn.resourcemanager.zk-timeout-ms numeric
@attribute mapredmapreduce.job.end-notification.retry.interval numeric
@attribute mapredmapreduce.reduce.maxattempts numeric
@attribute yarnyarn.resourcemanager.am.max-attempts numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb numeric
@attribute mapredmapreduce.reduce.input.buffer.percent numeric
@attribute mapredmapreduce.client.progressmonitor.pollinterval numeric
@attribute mapredmapreduce.job.ubertask.maxmaps numeric
@attribute yarnyarn.resourcemanager.admin.client.thread-count numeric
@attribute mapredmapreduce.tasktracker.taskmemorymanager.monitoringinterval numeric
@attribute mapredmapreduce.job.ubertask.maxreduces numeric
@attribute mapredmapreduce.reduce.skip.maxgroups numeric
@attribute mapredyarn.app.mapreduce.am.job.committer.commit-window numeric
@attribute yarnyarn.client.nodemanager-connect.max-wait-ms numeric
@attribute mapredmapreduce.jobtracker.taskcache.levels numeric
@attribute mapredmapreduce.client.completion.pollinterval numeric
@attribute yarnyarn.client.max-cached-nodemanagers-proxies numeric
@attribute mapredmapreduce.tasktracker.tasks.sleeptimebeforesigkill numeric
@attribute mapredyarn.app.mapreduce.task.container.log.backups numeric
@attribute mapredmapreduce.shuffle.transfer.buffer.size numeric
@attribute yarnyarn.nodemanager.localizer.fetch.thread-count numeric
@attribute yarnyarn.scheduler.maximum-allocation-vcores numeric
@attribute mapredmapreduce.ifile.readahead.bytes numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.timeout-ms numeric
@attribute yarnyarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size numeric
@attribute mapredmapreduce.jobtracker.jobhistory.task.numberprogresssplits numeric
@attribute mapredmapreduce.jobhistory.move.thread-count numeric
@attribute mapredmapreduce.tasktracker.local.dir.minspacekill numeric
@attribute mapredmapreduce.jobhistory.move.interval-ms numeric
@attribute yarnyarn.nodemanager.localizer.cache.target-size-mb numeric
@attribute mapredmapreduce.reduce.markreset.buffer.percent numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts numeric
@attribute mapredmapreduce.job.maps numeric
@attribute mapredmapreduce.task.combine.progress.records numeric
@attribute mapredyarn.app.mapreduce.am.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobtracker.tasktracker.maxblacklists numeric
@attribute yarnyarn.resourcemanager.max-completed-applications numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.interval-ms numeric
@attribute mapredmapreduce.job.speculative.speculativecap numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries numeric
@attribute mapredmapreduce.task.skip.start.attempts numeric
@attribute mapredmapreduce.tasktracker.reduce.tasks.maximum numeric
@attribute mapredmapreduce.jobtracker.handler.count numeric
@attribute mapredmapreduce.map.cpu.vcores numeric
@attribute mapredmapreduce.job.counters.limit numeric
@attribute performance numeric

@data
28154,131372,61878421,16.233729,49.224312,0.964355,124,233231,19.154373,28748,203974,45.336335,0.770261,76,40.37617,15.666317,25458,1.658012,33.302128,322,2.9513,2.424791,275595,90,16.317091,121,160752,37.82787,27017,61.43769,318185,3.344589,1044,180,746921,23,36.401193,170693,35144,4107,0.600063,65.634467,60.97359,21491,51.497806,493,84697,99.402631,3012,85.729951,22.021575,60.351801,0.766636,10.773967,36802,11284,112506,29.595059,528,25878,3329,42.833557,44972,81666,79167,105,10.340051,13.273072,856,0.711745,2991,122.56886,80.533484,35881,199.604798,90.227208,5049,146709,61,41288,294,22450,69.431795,929855,25.307552,49.171177,20338178,149516,91.60586,28.250777,58.712595,21.711288,216264,9878,0.606387,26.759528,9.933242,10762,20.737723,9.280368,10172,2746,0.936689,12.622913,1.148746,47.851181,75.663899,4.17714,193,60
30435,175913,1692688,21.457562,5.767712,0.942322,298,80937,12.942012,32372,35022,1.1433,0.238187,119,37.821519,17.233829,26334,47.952086,16.678056,109,21.338109,20.182014,206202,114,37.42255,142,614334,17.705439,54106,5.211959,282456,12.546409,3080,361,123180,89,17.004589,189193,68782,4916,0.561846,9.714694,17.330086,20662,82.646605,393,59278,40.120732,1557,13.900847,41.530834,50.853755,0.236354,12.77185,49178,13334,262954,34.226473,758,153262,4307,83.506292,143135,132065,172562,567,22.365169,8.443669,728,0.23067,1047,144.865444,55.395025,3544,100.85286,61.563463,99261,211766,60,7145,443,17727,18.55048,784096,30.350834,47.448488,35199992,101912,61.350848,64.708117,16.343159,5.825453,91589,9304,0.254004,19.637091,17.765129,4371,26.050706,35.79902,13597,6349,0.569218,16.732851,3.278448,89.323061,5.319873,1.330032,691,50
35721,199010,67530504,1.525818,74.6849,0.189933,359,179196,10.323423,39431,80453,49.151592,0.34993,281,34.870474,7.341732,27901,52.565098,34.585022,190,49.140081,26.022145,167242,254,3.895144,158,348407,78.95745,86024,87.917283,571652,28.483992,3184,271,285076,121,22.992652,115679,96994,934,0.186202,5.001421,34.470858,21922,24.727421,110,13782,9.162791,3702,21.615024,25.42129,45.817038,0.776251,6.215659,37621,22931,52487,53.2987,419,53471,4728,69.998412,91091,148263,94657,3599,10.622017,16.690019,877,0.362519,6531,188.564822,10.505961,23209,165.230432,82.116351,20301,294776,141,21473,309,37424,64.934419,346145,14.463653,99.151862,29410067,85642,55.398506,87.366501,10.7721,94.075897,210835,9176,0.756997,27.329317,25.252945,81789,9.116377,13.981043,17270,5838,0.678942,26.969149,19.875344,90.888442,21.356776,8.153374,486,-1
37839,40503,127696781,46.273825,68.937134,0.205441,134,64912,17.992468,27125,272399,19.789216,0.684688,173,81.710023,14.076819,28717,99.874764,39.854573,70,93.710987,18.957479,116830,210,16.863192,40,679789,84.367386,28585,46.064708,586349,33.14988,2598,337,430331,123,36.763153,114838,24227,8373,0.851891,75.503352,93.928355,21397,83.337565,276,67540,90.817407,3025,12.219224,62.946734,63.522385,0.095295,6.5952,8079,61661,186316,5.273555,688,35217,3254,75.573215,134565,229773,130742,2757,29.832625,3.877371,584,0.671301,3766,193.89241,83.605314,40966,122.327473,25.405163,42590,202648,16,32836,374,42021,28.833008,612830,74.787141,77.172621,1727696,129837,84.966001,79.27107,28.95353,87.961604,212870,9935,0.21691,21.4022,23.194307,48719,26.200561,7.232914,12401,8270,0.154817,9.372834,6.534874,15.96539,34.909487,4.728783,655,53
39108,226274,13882066,48.842661,69.32863,0.770267,382,58896,47.366648,22407,304239,9.11778,0.901576,294,67.062075,4.924864,25436,89.50632,8.672686,440,26.04518,3.706765,114753,197,4.861066,152,401627,95.866911,38729,90.199314,351144,57.329863,4174,67,184790,199,9.053173,146525,77737,8914,0.126001,42.247363,96.91923,22913,14.2119,404,52683,47.547241,3578,9.893363,58.157214,27.139524,0.6727,16.395499,9196,19212,226017,77.107556,1007,96839,2098,36.350829,203341,283619,267100,3767,4.537888,1.794618,759,0.756686,418,126.423841,92.592271,12859,145.796232,45.847001,26553,235002,35,11823,867,41509,11.728204,451962,6.178672,90.114692,13573140,168644,58.539024,61.782097,7.612611,54.696268,165212,9811,0.818339,14.128373,10.463394,47554,4.688711,34.183669,17668,4259,0.190631,16.421603,11.896282,92.665801,89.438989,1.710353,121,58
42988,111137,117732230,19.942616,51.525008,0.615615,177,198376,25.684858,31361,24534,17.480834,0.635366,166,95.356793,6.659357,24428,16.256539,15.845735,452,21.951315,18.367953,268140,122,26.732018,55,96075,40.936395,75838,47.900299,626104,1.791098,3471,94,577474,5,12.494195,178839,60344,6987,0.888227,37.638473,16.270921,22132,73.542117,3,6367,92.683875,2388,21.116727,46.893631,69.14018,0.199201,9.253278,26709,39709,152099,97.242817,373,14043,1551,86.467279,15344,351268,90759,4300,14.252983,13.034425,501,0.812656,3585,136.097164,25.804802,34861,115.710084,72.459509,69306,155571,9,24614,767,20497,44.726983,208575,55.418338,46.595127,4149935,77638,94.047912,25.290872,89.384768,61.442047,137373,10399,0.846636,8.952689,15.486345,28059,23.369444,13.268223,16409,6205,0.370633,24.336315,7.718113,73.020017,30.559052,1.782127,392,55
47039,85220,35282057,8.657717,14.064773,0.028944,248,261491,11.332782,18343,29187,14.477427,0.179641,38,11.129839,9.183707,26192,33.183494,38.430194,403,56.070323,15.770154,238306,49,1.944497,178,499747,66.5883,13190,64.258762,330379,86.47806,2635,322,583469,92,37.766683,132091,80896,2567,0.149325,88.886242,7.334588,20921,64.661987,187,86067,20.33145,1193,92.053689,20.230107,62.151442,0.839987,12.302219,10186,94327,66192,98.139497,430,124748,108,24.328707,164895,223860,15386,6493,1.251279,12.26376,905,0.955252,295,115.461997,46.944759,36988,151.811841,89.319293,90211,273826,75,46271,44,852,24.165693,541608,93.603993,42.805049,21041251,258727,9.34822,99.39403,69.735046,19.143575,116946,9127,0.477089,28.292211,31.378914,53011,20.957294,29.123357,11736,6580,0.290228,10.51318,13.760467,52.893456,12.44412,7.568957,845,62
48400,50067,26732238,2.703042,90.151184,0.166384,189,46253,22.888752,40721,86833,20.866584,0.552652,90,86.850359,6.736055,24505,67.205185,11.059322,160,95.800608,14.977061,95676,64,44.221691,91,745799,35.625714,35249,99.399333,543262,48.942831,2232,81,379850,94,18.506068,166820,1135,7696,0.861219,49.242359,18.746707,21053,92.83338,115,97897,87.654642,3264,70.777958,11.10694,17.008758,0.702086,7.850018,14426,66482,26841,72.911567,211,184258,2807,38.509665,31760,65668,192063,7012,37.244729,19.596992,772,0.086516,7101,196.787164,53.886517,34355,128.740032,51.312601,3237,195862,34,38573,188,37501,54.240793,146962,72.22732,62.861369,17152856,17458,56.064193,44.877996,22.595445,6.820267,291320,10983,0.824888,13.119195,2.992912,44775,5.335512,23.726627,6722,3485,0.924502,19.675492,3.365155,4.294694,83.334405,3.652515,204,-1
51481,96409,105896755,42.123037,46.504995,0.958075,356,240874,49.427484,37210,50181,3.218755,0.584804,252,48.844265,18.578653,27278,65.992795,10.679077,291,9.838011,3.359178,125370,191,40.91405,126,787411,2.364347,21988,17.080251,504191,81.078183,1379,91,200901,101,10.620709,149172,4948,2282,0.034736,70.132471,64.999,20808,53.661745,430,73849,16.568517,3346,77.223735,19.178523,22.858162,0.271723,19.879275,27360,74466,237671,23.895207,579,101188,3087,5.616106,33707,353565,205188,7940,5.215305,6.546181,945,0.262539,7778,125.471965,11.12182,27657,172.391491,6.139641,24218,193509,22,28638,700,28660,27.702099,298031,15.542213,63.833066,29032967,31447,37.740794,70.845391,66.991692,84.028778,124633,9625,0.46359,22.853204,42.412555,24974,18.905725,10.807486,15201,9517,0.406327,24.149202,12.389683,86.262493,47.487584,9.495673,163,-1
56442,157756,108111693,10.695782,63.534633,0.227334,377,174301,33.858994,39871,311578,36.265187,0.037519,291,16.21789,1.623006,28538,64.849152,5.122459,142,35.958756,10.264915,147491,189,48.518634,38,258943,57.630047,49227,25.494239,206246,99.096135,3630,75,690915,14,5.598505,158118,56179,4838,0.805021,8.623281,31.589513,21322,79.723531,272,31493,39.544024,2128,38.396086,86.840297,55.029455,0.013372,17.845671,1547,19931,254466,39.467844,464,56402,4798,66.883362,7233,163004,12380,8156,33.280428,13.634684,917,0.410826,6239,110.146059,13.335706,5252,166.108611,36.229904,22729,185075,95,12791,694,49293,22.671579,557145,24.156076,85.379944,34738956,290449,76.628563,56.490464,81.381787,38.075216,248657,9427,0.788533,2.21699,20.691875,60429,11.356768,31.144463,9122,8951,0.913324,14.939155,13.231648,30.509538,88.316641,1.400399,617,-1
58998,66803,58793273,3.373411,64.802629,0.722213,313,186489,23.892172,38248,275743,10.49513,0.543249,193,16.767355,5.525477,28119,41.731453,6.096503,377,19.78204,24.653299,236265,26,5.572839,195,293727,88.59184,32050,78.939331,691405,5.24198,2735,310,574472,148,29.921922,196604,50496,6596,0.917269,25.395826,54.975832,23003,33.437334,296,74402,24.792356,4014,56.790599,37.171353,84.985598,0.642439,3.912688,47353,6414,184048,61.948532,619,132402,3409,32.301596,112463,193017,253592,9161,16.805715,18.899964,414,0.928221,7587,137.221248,2.928702,8458,194.163157,13.649487,87049,81825,74,39076,962,24533,52.672007,1117621,63.071693,80.669476,27190930,190846,2.292167,97.904134,74.475432,53.145963,289668,9009,0.911114,7.720063,24.48763,3788,14.7362,14.304819,5761,7511,0.115532,8.544852,8.174195,84.456601,14.535804,5.980859,744,-1
60222,250659,99491755,33.309944,10.03383,0.834591,271,228355,25.274088,21551,161032,46.492994,0.760104,77,85.24958,17.361942,24642,33.985724,22.572721,177,67.580842,4.118052,298636,178,39.457937,39,708942,74.531399,95442,11.134692,798444,51.379586,3290,229,668583,85,9.480622,165694,7110,3519,0.214046,26.797649,20.478898,23352,66.997908,344,48653,14.379805,2237,92.656762,96.814858,3.376139,0.748855,13.216182,42382,24046,105257,82.936773,628,168065,3362,25.334915,248430,274274,168295,1174,2.449672,2.810516,696,0.065678,8409,169.92805,69.480378,22125,111.189342,23.298162,13287,206112,27,3372,888,30610,42.461406,835873,49.585628,48.094092,4359675,247890,11.538191,13.736035,52.401282,15.92029,284257,10629,0.596529,5.063793,35.902645,83906,28.022265,10.531106,10329,4027,0.469285,23.516625,7.8858,17.252882,34.191357,7.043497,705,-1
65914,292997,115485022,35.402805,62.123561,0.639462,241,210762,43.591079,26386,251052,5.546297,0.849264,123,72.017569,18.774226,26293,31.318705,38.892709,201,79.682314,17.454453,97865,221,49.69426,145,633223,91.018461,62303,74.508879,780561,29.784773,3872,219,721389,65,20.76861,155571,99871,1530,0.066552,47.278539,94.615253,22023,72.486163,54,96447,37.607344,2901,88.810111,75.006614,28.572708,0.401821,13.077944,38185,79593,299881,31.223425,343,114199,4185,16.009415,100789,98498,144501,7553,17.762897,2.37293,157,0.050623,9134,160.728255,79.901894,44431,112.621488,5.586908,1120,297725,84,29889,339,7877,8.130039,261629,21.845314,85.905211,39547713,174522,82.142692,24.576048,97.362329,44.112658,207854,8928,0.548822,19.06318,52.803218,16629,27.556474,6.103633,9493,9421,0.499246,19.37038,2.697989,63.15166,37.735374,9.631506,446,-1
67502,145152,79310779,12.206478,78.810592,0.734131,160,161095,51.065954,27836,95813,39.610988,0.894471,236,20.466852,12.85453,26905,63.508779,32.441504,466,17.78954,23.930776,102614,126,6.88177,14,738721,47.129654,15662,27.052872,306399,47.40654,1843,125,227503,34,22.352939,154425,36387,1679,0.816507,31.610112,88.933584,21955,75.118952,368,92209,70.244181,1236,89.64195,53.182953,47.894522,0.578383,11.924268,42961,65693,109103,75.25296,1000,82182,3468,13.162587,221475,356177,295386,233,19.859904,14.508931,899,0.492874,1709,107.854557,3.497102,6904,126.145352,49.969206,39016,247024,135,17365,514,33757,93.111594,980765,33.336734,88.287588,19845070,251733,49.533126,16.299119,72.569289,22.075625,64524,10450,0.28061,23.855011,53.036154,87048,20.2512,2.227071,14253,1603,0.097686,7.768414,6.469562,60.786759,2.423023,6.359178,970,38
71025,241291,102152818,43.900518,92.842523,0.917975,346,284233,44.236871,31537,370290,44.935365,0.503169,168,91.620321,18.352459,25613,12.536641,12.341494,148,90.002052,6.344004,216961,9,3.364943,108,598315,15.733899,15849,91.360942,295675,40.848903,1548,213,406069,99,29.436962,199714,55090,568,0.338492,53.589747,9.825065,23553,6.469145,19,39127,84.263681,3961,97.463377,64.661923,24.866542,0.534979,15.792621,2625,49779,18291,67.167658,950,175045,4149,92.202399,199334,398687,127210,3355,30.380446,11.744216,464,0.03195,613,113.255179,43.89552,17218,160.881581,4.350776,33683,250378,48,43185,619,25115,61.426752,121679,5.167429,57.639305,28187027,239844,92.860264,3.047163,2.110583,88.343113,163128,9526,0.345941,10.256618,23.411085,6763,7.15087,34.639696,6263,6303,0.850443,26.420847,17.46508,6.957369,40.55025,5.198389,92,36
74303,264563,6063871,48.133381,93.233367,0.93148,181,198767,3.323469,43439,266509,38.748208,0.456788,51,25.54869,12.293575,24613,19.00822,29.126565,304,82.956325,1.014863,66908,242,6.462817,113,883960,77.502337,89614,47.155119,562561,2.318279,3778,231,369877,56,12.73605,120220,29746,4564,0.598606,34.91704,13.92614,20698,56.101341,42,19027,4.347133,1167,43.523143,1.279379,24.133943,0.337928,7.599665,21280,29380,60662,64.112334,850,196147,1718,57.59396,116514,73648,196336,2281,12.884542,19.76255,21,0.791956,9312,111.047365,62.878416,4383,159.68651,33.287096,8476,74242,142,47031,588,18282,81.031333,1271716,1.896818,94.496756,7407585,184767,27.641074,52.478932,76.006094,93.676091,81261,9580,0.292613,3.249771,39.818073,75770,20.638983,3.918336,18049,9729,0.123064,8.07093,2.128338,82.883771,52.567339,5.634188,863,-1
77831,118088,14657552,21.631299,85.680326,0.530847,153,116489,2.40841,15042,44691,40.864642,0.339659,274,6.620021,19.088097,27364,87.134261,19.211282,325,71.597331,17.870103,226148,5,31.883381,46,769568,5.675618,59837,57.241496,788039,31.334625,3087,86,627085,120,29.286811,175917,65561,6764,0.981861,16.138054,6.275551,21453,86.407797,133,47655,36.466427,2570,69.752018,18.011157,86.958893,0.513505,1.570676,19842,28113,269600,11.742831,922,109924,417,97.66049,98155,396462,279802,5103,38.257726,14.939898,136,0.318446,7296,181.9701,55.645563,18230,193.266859,28.01941,45369,98643,31,33977,689,38478,4.672104,566410,12.269055,54.605993,33393240,55674,48.126443,34.855117,30.815708,12.545792,144906,11066,0.902848,9.545371,14.708158,26767,9.742562,33.164261,17782,5369,0.823784,20.166568,10.048544,61.841726,6.171579,1.030036,65,-1
79513,50600,123023264,9.588166,66.72208,0.290582,165,113861,32.868216,29216,36778,18.838846,0.466991,28,4.668198,3.545356,25260,20.369348,32.908052,296,57.146818,26.728155,280279,14,35.671584,58,185418,8.198493,28023,67.685757,372030,23.769789,2563,356,349055,18,27.170736,152719,84923,1726,0.674896,93.494789,1.008063,21375,36.178067,463,20458,10.606594,2692,18.061701,29.010301,9.932259,0.998789,14.454523,24939,22142,3863,93.381456,652,95958,1997,79.68538,48644,305526,121963,4452,22.763605,1.166632,78,0.515512,7165,175.45024,96.995969,17962,120.056882,26.396322,54594,152577,138,12508,474,42870,3.187239,198545,97.047935,53.789618,20040899,206049,35.261817,72.590538,40.012915,53.800921,153140,10917,0.620926,18.235181,30.838524,64652,18.689835,22.83519,14326,2544,0.030179,11.641074,13.135707,18.913917,65.961154,8.079058,795,-1
83682,251603,64777844,18.311487,55.431981,0.095329,133,82721,29.074539,20433,42857,46.596443,0.716608,144,87.804231,10.31876,25545,60.442242,15.484046,174,32.141709,23.574709,105816,39,20.454295,173,228940,7.656641,5743,84.851777,310306,37.248947,1710,173,542061,52,13.823281,157780,93103,2086,0.049758,74.727086,85.703698,23067,5.836404,397,3374,11.206755,1289,8.322269,40.515688,92.597705,0.550742,12.110469,40068,7518,57147,90.580095,104,57894,4993,63.091754,269584,279028,278168,1083,16.01113,6.470021,576,0.741533,4001,118.590879,5.6285,21023,127.838293,97.13302,3993,64996,120,3678,2,13639,51.107702,1245875,38.40133,68.882035,33234600,133575,87.7064,68.698723,28.295876,85.612557,93733,10997,0.510565,18.88112,23.849679,2587,16.367669,28.414936,8215,9200,0.808073,21.233767,6.889193,37.072807,1.390159,1.86452,248,62
86695,35572,38658066,39.623071,43.101966,0.007886,197,134137,20.868269,16752,226287,42.033666,0.785675,39,9.741798,2.073958,27707,55.016918,3.435352,260,65.253864,8.167004,142602,249,15.740798,156,278624,20.666474,42118,72.999852,705439,58.554845,1961,313,597825,12,23.930761,197368,53603,7253,0.461533,79.345189,39.789801,20734,94.328904,446,86985,47.08523,1596,53.884628,59.181936,90.016386,0.416705,9.966038,9895,75424,93692,84.566019,955,102677,1388,50.479754,121260,239193,224777,3064,30.051937,17.2706,430,0.785865,6390,140.581904,82.642948,32877,178.354852,8.552568,92434,184223,64,18411,980,33235,97.313248,495178,94.174663,75.068297,14165806,218462,83.782833,59.60251,94.13661,4.379804,238070,10129,0.355537,2.452958,37.433648,5492,15.460288,1.927701,3663,7738,0.592275,3.138902,16.695367,93.397911,61.8048,3.599902,832,-1
87798,103596,7506746,40.488825,86.504342,0.373325,264,92127,19.372047,44323,278656,4.801759,0.493369,288,44.884308,15.264147,28142,34.893722,31.231358,434,12.654652,21.172057,67827,78,22.409294,183,692882,21.529746,59610,12.711248,448299,44.613834,1447,339,513240,157,31.488924,104212,6171,234,0.455575,78.146649,36.125218,22517,81.350981,378,29520,71.742652,2188,24.631692,34.755332,32.253714,0.083252,19.333266,7546,4086,160253,79.64545,143,194172,822,55.287934,93084,383232,53100,472,8.009793,18.338273,248,0.565235,9986,101.761842,12.093825,49323,156.723941,85.83045,97460,261145,94,49869,599,27707,82.901266,829547,83.786342,69.589645,14026782,227182,33.666865,12.220832,1.04269,76.62168,241818,9073,0.017825,6.615061,21.848043,54542,21.218243,39.279891,15810,2469,0.341318,4.40667,5.096173,37.962991,24.274275,4.597122,4,-1
90551,22760,91470351,23.456613,78.027983,0.624383,347,98784,36.044325,36157,200931,24.45925,0.29115,80,47.843746,19.314992,26726,27.280072,6.749056,445,74.154971,11.60749,201695,140,43.245453,185,848299,74.078244,80187,93.040503,484917,79.763834,3573,142,128785,150,33.25916,186490,3673,5423,0.23625,6.74449,92.348642,22195,20.284073,194,38312,24.629935,2876,29.030811,16.746143,80.76693,0.825238,19.787452,49901,92210,175580,48.809432,196,180546,3139,2.491626,206633,199401,178524,749,13.273734,5.748648,659,0.428299,3298,128.397607,17.834619,36542,179.130466,52.808835,67017,210025,138,27324,267,31534,68.18995,424160,10.603018,61.121227,41661067,121771,72.164157,32.958038,86.888346,57.803112,166781,9230,0.954372,23.107123,36.591189,30969,21.698429,19.890461,17345,7305,0.812653,2.773362,7.047803,41.66504,83.158318,2.731064,84,46
94444,187817,51447134,29.34536,50.441841,0.346288,323,88539,16.379197,41176,131636,28.961667,0.252797,289,42.930768,11.598397,28502,86.494262,2.394479,132,35.49756,7.464621,190950,185,17.645654,181,334226,70.168859,9836,81.024297,639043,13.450992,2172,247,149332,81,17.997557,124085,23462,6888,0.409406,98.218022,52.493936,20771,67.760068,239,5540,31.660569,1398,35.996879,8.21961,73.440761,0.861633,12.845438,45155,83968,250677,91.400667,388,142442,1260,66.031436,151211,366434,272301,2251,15.001204,13.362253,778,0.762077,1337,130.052814,56.644173,6356,189.582634,99.671324,71272,139101,108,42032,600,28333,63.405618,70642,72.413555,43.397428,38930393,123675,72.896621,76.84251,45.468872,77.744272,60582,10674,0.58108,14.664779,26.993467,36595,4.472607,19.472765,19864,5986,0.710389,25.985378,17.639754,79.228064,58.112374,1.944992,572,60
97344,173446,45419886,3.862588,18.13312,0.435617,304,166069,35.774889,28972,322682,33.790136,0.028264,94,90.699073,5.176415,27873,58.908044,9.099017,369,40.20596,13.58224,171874,163,28.171139,16,819576,36.038008,98665,65.497046,201623,7.692761,2527,382,484450,21,9.913836,159685,80147,4040,0.724741,23.449065,5.058328,21093,29.24266,285,98036,41.957421,2074,41.606944,60.846771,53.492648,0.608227,9.731313,45976,77781,194699,45.416318,986,10476,1683,60.460797,265722,131186,203887,2821,2.726433,7.638529,608,0.384915,8942,159.800558,43.175506,31407,171.364144,34.928994,60862,85057,67,26770,649,8409,94.095641,952104,48.724363,58.969121,21442571,275802,94.763541,89.967109,53.137137,67.719991,225493,10761,0.135944,11.90377,45.324073,54000,5.122974,20.622093,8805,178,0.053076,21.843244,16.314907,10.10447,44.705693,4.398233,805,-1
