@relation InitialSetByLHS

@attribute Time.spark.rpc.retry.wait numeric
@attribute Size.spark.driver.memory numeric
@attribute Size.spark.reducer.maxSizeInFlight numeric
@attribute spark.shuffle.memoryFraction numeric
@attribute Size.spark.memory.offHeap.size numeric
@attribute Size.spark.executor.memory numeric
@attribute Size.spark.broadcast.blockSize numeric
@attribute spark.shuffle.service.index.cache.entries numeric
@attribute Time.spark.rpc.lookupTimeout numeric
@attribute Time.spark.speculation.interval numeric
@attribute Time.spark.executor.heartbeatInterval numeric
@attribute Time.spark.dynamicAllocation.schedulerBacklogTimeout numeric
@attribute Size.spark.shuffle.file.buffer numeric
@attribute spark.shuffle.sort.bypassMergeThreshold numeric
@attribute Time.spark.locality.wait numeric
@attribute spark.speculation.quantile numeric
@attribute Size.spark.storage.memoryMapThreshold numeric
@attribute Time.spark.dynamicAllocation.executorIdleTimeout numeric
@attribute Time.spark.files.fetchTimeout numeric
@attribute spark.rpc.message.maxSize numeric
@attribute Time.spark.network.timeout numeric
@attribute spark.files.maxPartitionBytes numeric
@attribute spark.scheduler.minRegisteredResourcesRatio numeric
@attribute spark.storage.memoryFraction numeric
@attribute spark.executor.cores numeric
@attribute Time.spark.scheduler.revive.interval numeric
@attribute spark.task.cpus numeric
@attribute spark.memory.fraction numeric
@attribute spark.memory.storageFraction numeric
@attribute spark.storage.unrollFraction numeric
@attribute performance numeric

@data
7376,8955720,860022,0.665033,16344921,5856024,551615,411,56,718,7564,1681,933449,227,4284,0.920934,1043623,485131,425145,418,139,758609791,0.769427,0.099629,10.162875,3160,1.581993,0.187214,0.473814,0.724613,120
7533,15242315,326829,0.387175,13637776,10627742,184851,3491,322,1230,25342,7339,218593,47,3463,0.587564,312837,317967,480498,222,54,46881727,0.125005,0.727128,3.703529,3110,1.530749,0.070078,0.955711,0.652539,95
7723,12985135,404571,0.569748,3600167,15695450,641820,8519,285,1868,18733,7629,830049,493,12704,0.559477,907501,96033,459441,278,255,575426117,0.103318,0.251444,13.468838,7803,1.65492,0.619594,0.823048,0.54703,135
8050,15833852,205086,0.920284,12545909,5348364,139635,5353,171,8798,4091,9312,690522,306,25757,0.471041,341609,222351,414309,1015,64,129016180,0.651609,0.551797,4.34264,6246,1.798587,0.4542,0.52923,0.184806,88
8520,7469805,841869,0.847508,14984317,12943254,502262,7268,155,7206,7753,6349,894805,124,19954,0.353791,612634,100923,87252,4,32,283013676,0.725826,0.433502,15.054488,8912,1.069419,0.015303,0.174749,0.348829,131
8820,9244115,682491,0.642961,14133016,6745816,331892,3765,271,4428,22874,4394,740146,401,6374,0.499708,518989,494112,329666,721,60,674578771,0.774988,0.373345,5.782962,4026,1.605724,0.212028,0.696107,0.995397,128
8907,1210509,407668,0.604129,99776,9663308,367138,9831,310,2254,19494,3207,1047787,248,26151,0.673487,856081,287200,59508,697,298,1333258696,0.679422,0.211953,6.606376,5078,1.175675,0.445709,0.074308,0.643129,128
9183,3404838,591147,0.930401,4977648,12549067,43971,4550,121,3581,13671,6710,613434,71,9877,0.779734,363708,380313,532790,385,185,343626591,0.404544,0.569896,12.965107,7496,1.974269,0.006453,0.543564,0.737258,128
9530,1980218,160307,0.228633,13054444,11151594,583096,8087,177,6504,20763,1861,336436,161,7656,0.202415,692178,206544,544929,14,176,1249923551,0.004379,0.71149,14.359448,2790,1.202973,0.550607,0.398704,0.583695,133
9844,14893548,464971,0.983431,9925292,15230248,379636,3003,81,3399,1635,9199,479234,99,28254,0.135514,464616,108901,245432,309,147,448941042,0.362783,0.886127,11.885029,5529,1.160556,0.196267,0.184771,0.904089,140
10046,16213504,727796,0.431079,2154215,10799054,964535,4475,230,4898,20369,6174,372138,4,27418,0.686589,935956,427325,66594,303,258,387976205,0.867886,0.117996,9.226862,3502,1.363886,0.623603,0.401026,0.09525,131
10535,14566800,316578,0.65289,4661888,13776271,325267,1549,189,5527,11867,2831,400940,133,21876,0.319999,332842,126623,357070,579,132,1264540930,0.21533,0.517988,13.06929,7977,1.128847,0.322146,0.499658,0.795857,127
10736,8063958,137831,0.058521,16123980,15993181,561307,1899,297,9482,6534,9086,976657,482,1581,0.576964,55105,140338,167464,655,245,688723003,0.375669,0.495232,10.850275,8983,1.44122,0.229967,0.443266,0.467276,141
10918,4588737,234538,0.327091,925856,1570126,277279,6691,150,4333,12635,1466,187789,443,18452,0.663777,216597,516815,210307,376,268,407219887,0.709248,0.323877,5.94117,9457,1.779358,0.651553,0.914809,0.947743,31
11372,1186119,899494,0.300873,8119384,2298440,477719,3620,95,8918,22562,3968,86594,339,13162,0.712616,112822,213595,205711,752,84,361102429,0.95989,0.02453,10.330414,5187,1.526858,0.985921,0.735352,0.014196,57
11520,8873807,698109,0.154777,16695882,5179337,302750,3925,167,292,15626,9936,968692,363,8716,0.267023,222856,335856,72047,835,212,1077609809,0.334914,0.650097,4.948453,7614,1.107642,0.363012,0.263378,0.020152,92
11934,15594668,625903,0.914018,1222748,8052981,860400,6525,258,1580,29213,5573,790034,82,20898,0.33378,282389,148849,369167,868,112,960280165,0.96997,0.685987,13.899887,3832,1.724835,0.880658,0.350503,0.112357,125
12163,10072789,1030164,0.551301,6479527,1720327,893226,9046,155,203,21933,1626,448226,315,27841,0.987169,623035,70614,507798,562,343,569967690,0.070692,0.662813,15.904761,2165,1.26167,0.492455,0.901674,0.222257,26
12368,5071283,114545,0.505108,12778876,14310086,799040,2532,249,2996,2550,6078,604255,197,3953,0.61031,2460,273037,570075,537,357,642320078,0.630597,0.201397,4.247564,4693,1.328923,0.926942,0.248792,0.168891,97
12857,11836911,957995,0.358278,15211112,3161899,691268,1715,328,4597,21830,2756,153862,187,26662,0.811115,347307,186928,471812,361,327,277885424,0.933327,0.460308,15.747577,6191,1.091958,0.59369,0.899459,0.608603,94
13046,9461527,149628,0.044883,13207417,10106302,69550,824,192,9076,11046,2448,566358,468,2758,0.279417,629903,586845,153415,936,304,861895050,0.813433,0.343076,7.346609,1372,1.967548,0.292866,0.362307,0.749457,128
13198,10770555,508731,0.42666,3277453,8817950,305807,1087,34,2415,10090,5354,237726,195,24536,0.893922,439694,179506,290885,917,336,785962497,0.480359,0.088084,15.587789,6440,1.418736,0.861625,0.436117,0.617507,128
13659,11025548,618908,0.593873,468813,2445281,859005,7436,112,7315,24071,2649,1004208,154,14615,0.307022,203664,560709,551500,856,283,556503985,0.88601,0.73881,14.876262,8709,1.576171,0.156258,0.996468,0.28091,59
13795,8225805,87076,0.110055,9522847,7860901,697523,4297,318,4028,17660,2120,993768,325,9441,0.106254,640364,557446,305507,326,272,901085578,0.4239,0.575302,8.267463,7106,1.888575,0.100656,0.764579,0.811434,131
14164,9695667,263670,0.023568,6599565,4998722,625005,700,133,499,26015,3269,587856,398,18287,0.249716,922360,37673,141974,35,131,808527055,0.552949,0.581494,11.760838,3917,1.809201,0.934323,0.022941,0.931221,117
14619,1365232,793151,0.779187,6814295,9792689,707398,8446,183,8564,25583,1351,118974,260,24213,0.790347,80927,466890,408651,429,128,1143996859,0.137871,0.534203,3.404882,6350,1.080884,0.571543,0.969414,0.833099,89
14838,16387202,753665,0.690075,10751792,13834194,391950,4082,126,7740,20129,2347,67273,478,28704,0.84918,420555,387939,477687,985,161,1316240791,0.11098,0.702459,14.778049,4348,1.870177,0.734424,0.710136,0.172402,131
14922,3587674,226446,0.869672,14842836,11587118,136072,9237,347,5147,4229,9830,654965,180,10192,0.958986,799329,414554,596491,402,42,889882468,0.873233,0.87446,9.388387,4271,1.382501,0.748268,0.634577,0.406864,128
15497,14351055,192035,0.296357,10472075,15501083,10830,5690,325,7630,5545,9133,158070,114,1442,0.737971,42541,304534,199044,105,51,310200114,0.090259,0.980194,14.312761,2619,1.760281,0.847347,0.427522,0.972847,130
15679,12578890,105900,0.853701,11795144,9988431,252960,6284,104,7581,21510,1050,771667,140,23298,0.513834,171474,432085,50058,398,296,1199728759,0.437836,0.351927,7.683487,8455,1.665962,0.311655,0.480213,0.19296,129
16017,8283785,367165,0.009967,6987465,3457495,1023024,5294,161,344,23253,3374,913428,104,11456,0.284779,149242,86123,229668,250,108,1098254175,0.080196,0.400992,5.40155,4962,1.461286,0.752098,0.94993,0.773297,93
16090,6890612,715747,0.761884,5872604,2823886,402866,5938,276,7192,24933,1729,629380,345,4720,0.568564,88650,478095,102317,970,87,194357702,0.829368,0.595943,9.040872,6793,1.004212,0.029083,0.006385,0.512243,81
16625,10540632,648744,0.316153,11208062,14652900,872963,111,162,5858,2840,7914,334933,299,28486,0.458704,266082,449300,405204,267,233,720786171,0.538407,0.805093,7.028048,3395,1.629733,0.471097,0.19763,0.255673,138
16898,3234679,926663,0.124311,6061639,14028527,230646,9408,87,1750,11425,5912,206375,285,12149,0.078472,142728,369356,249302,180,95,1073004190,0.451326,0.471247,7.186483,2996,1.631298,0.509279,0.834834,0.781527,137
17054,6276347,978421,0.541382,12360208,7691201,820792,5083,30,7076,8753,3567,353704,411,26371,0.41569,795980,511081,588191,901,123,170285206,0.156491,0.221162,12.038968,7722,1.454552,0.776713,0.107268,0.706195,131
17348,12506578,128819,0.839915,8308681,3399450,1016941,9749,96,1653,14938,5438,1034519,200,22452,0.221717,185694,343708,301553,486,320,497050840,0.613137,0.299621,8.388594,2049,1.745072,0.42809,0.88778,0.954112,123
17757,2012554,695187,0.999678,8821826,4243263,20214,6030,90,6725,28676,8751,282842,302,10959,0.176057,510702,349491,175333,210,165,99791879,0.606111,0.773293,6.155929,7867,1.860417,0.124281,0.277761,0.3736,122
17827,6499077,878801,0.520395,1864412,6693971,979345,1015,210,7882,12162,4095,30307,39,4975,0.047954,234118,420774,121003,140,236,767850114,0.506453,0.072626,10.531019,5929,1.024143,0.0952,0.325352,0.306808,119
18337,11917340,310770,0.783719,15289648,4684956,492423,2053,204,8480,24664,6829,190850,66,27072,0.850031,535609,322257,262751,594,209,62099346,0.84331,0.238396,9.508728,2201,1.823912,0.373178,0.653906,0.479852,118
18658,4737911,49758,0.629369,2665757,8348496,113273,8254,236,9256,1932,2943,639662,261,5948,0.017969,895859,312126,464029,892,73,151787193,0.320132,0.300283,1.775969,1747,1.397156,0.953006,0.010515,0.553715,75
