@relation InitialSetByLHS

@attribute yarnyarn.timeline-service.client.retry-interval-ms numeric
@attribute mapredmapreduce.reduce.shuffle.retry-delay.max.ms numeric
@attribute mapredmapreduce.jobtracker.jobhistory.block.size numeric
@attribute mapredmapreduce.reduce.shuffle.parallelcopies numeric
@attribute mapredmapreduce.job.jvm.numtasks numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-healthy-disks numeric
@attribute mapredmapreduce.tasktracker.map.tasks.maximum numeric
@attribute mapredmapreduce.reduce.shuffle.read.timeout numeric
@attribute mapredmapreduce.job.reduces numeric
@attribute yarnyarn.resourcemanager.connect.retry-interval.ms numeric
@attribute yarnyarn.dispatcher.drain-events.timeout numeric
@attribute yarnyarn.client.failover-retries-on-socket-timeouts numeric
@attribute mapredmapreduce.job.speculative.slowtaskthreshold numeric
@attribute mapredmapreduce.jobtracker.heartbeats.in.second numeric
@attribute mapredmapreduce.job.max.split.locations numeric
@attribute mapredyarn.app.mapreduce.client.max-retries numeric
@attribute yarnyarn.scheduler.maximum-allocation-mb numeric
@attribute yarnyarn.timeline-service.handler-thread-count numeric
@attribute mapredmapreduce.job.end-notification.max.attempts numeric
@attribute mapredmapreduce.job.reducer.unconditional-preempt.delay.sec numeric
@attribute yarnyarn.resourcemanager.client.thread-count numeric
@attribute mapredmapreduce.job.maxtaskfailures.per.tracker numeric
@attribute mapredmapreduce.reduce.shuffle.connect.timeout numeric
@attribute mapredmapreduce.shuffle.max.threads numeric
@attribute mapredmapreduce.shuffle.connection-keep-alive.timeout numeric
@attribute yarnyarn.resourcemanager.resource-tracker.client.thread-count numeric
@attribute yarnyarn.resourcemanager.connect.max-wait.ms numeric
@attribute yarnyarn.nodemanager.resource.percentage-physical-cpu-limit numeric
@attribute yarnyarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms numeric
@attribute mapredmapreduce.jobhistory.loadedjobs.cache.size numeric
@attribute mapredmapreduce.task.timeout numeric
@attribute yarnyarn.nodemanager.container-manager.thread-count numeric
@attribute mapredmapreduce.map.memory.mb numeric
@attribute mapredmapreduce.task.io.sort.mb numeric
@attribute mapredmapreduce.jobtracker.expire.trackers.interval numeric
@attribute mapredmapreduce.map.skip.maxrecords numeric
@attribute yarnyarn.nodemanager.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobhistory.datestring.cache.size numeric
@attribute yarnyarn.client.nodemanager-connect.retry-interval-ms numeric
@attribute mapredmapreduce.jobtracker.retiredjobs.cache.size numeric
@attribute mapredmapreduce.job.reduce.slowstart.completedmaps numeric
@attribute mapredmapreduce.task.io.sort.factor numeric
@attribute yarnyarn.nodemanager.localizer.client.thread-count numeric
@attribute yarnyarn.nodemanager.resource.memory-mb numeric
@attribute mapredmapreduce.input.lineinputformat.linespermap numeric
@attribute mapredmapreduce.jobtracker.jobhistory.lru.cache.size numeric
@attribute mapredmapreduce.task.merge.progress.records numeric
@attribute mapredmapreduce.shuffle.max.connections numeric
@attribute mapredmapreduce.reduce.memory.mb numeric
@attribute yarnyarn.timeline-service.client.max-retries numeric
@attribute mapredmapreduce.jobtracker.maxtasks.perjob numeric
@attribute yarnyarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage numeric
@attribute mapredmapreduce.reduce.shuffle.input.buffer.percent numeric
@attribute mapredmapreduce.reduce.cpu.vcores numeric
@attribute mapredmapreduce.job.end-notification.max.retry.interval numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size numeric
@attribute yarnyarn.nodemanager.process-kill-wait.ms numeric
@attribute yarnyarn.nodemanager.delete.thread-count numeric
@attribute mapredmapreduce.tasktracker.indexcache.mb numeric
@attribute mapredmapreduce.jobhistory.joblist.cache.size numeric
@attribute yarnyarn.client.nodemanager-client-async.thread-pool-max-size numeric
@attribute mapredmapreduce.client.submit.file.replication numeric
@attribute yarnyarn.resourcemanager.zk-retry-interval-ms numeric
@attribute yarnyarn.timeline-service.leveldb-timeline-store.ttl-interval-ms numeric
@attribute yarnyarn.resourcemanager.zk-timeout-ms numeric
@attribute mapredmapreduce.job.end-notification.retry.interval numeric
@attribute mapredmapreduce.reduce.maxattempts numeric
@attribute yarnyarn.resourcemanager.am.max-attempts numeric
@attribute yarnyarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb numeric
@attribute mapredmapreduce.reduce.input.buffer.percent numeric
@attribute mapredmapreduce.client.progressmonitor.pollinterval numeric
@attribute mapredmapreduce.job.ubertask.maxmaps numeric
@attribute yarnyarn.resourcemanager.admin.client.thread-count numeric
@attribute mapredmapreduce.tasktracker.taskmemorymanager.monitoringinterval numeric
@attribute yarnyarn.app.mapreduce.am.resource.mb numeric
@attribute mapredmapreduce.job.ubertask.maxreduces numeric
@attribute mapredmapreduce.reduce.skip.maxgroups numeric
@attribute mapredyarn.app.mapreduce.am.job.committer.commit-window numeric
@attribute yarnyarn.client.nodemanager-connect.max-wait-ms numeric
@attribute mapredmapreduce.jobtracker.taskcache.levels numeric
@attribute mapredmapreduce.client.completion.pollinterval numeric
@attribute yarnyarn.client.max-cached-nodemanagers-proxies numeric
@attribute mapredmapreduce.tasktracker.tasks.sleeptimebeforesigkill numeric
@attribute mapredyarn.app.mapreduce.task.container.log.backups numeric
@attribute mapredmapreduce.shuffle.transfer.buffer.size numeric
@attribute yarnyarn.nodemanager.localizer.fetch.thread-count numeric
@attribute yarnyarn.scheduler.maximum-allocation-vcores numeric
@attribute mapredmapreduce.ifile.readahead.bytes numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.timeout-ms numeric
@attribute yarnyarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size numeric
@attribute mapredmapreduce.jobtracker.jobhistory.task.numberprogresssplits numeric
@attribute mapredmapreduce.jobhistory.move.thread-count numeric
@attribute mapredmapreduce.tasktracker.local.dir.minspacekill numeric
@attribute mapredmapreduce.jobhistory.move.interval-ms numeric
@attribute yarnyarn.nodemanager.localizer.cache.target-size-mb numeric
@attribute mapredmapreduce.reduce.markreset.buffer.percent numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts numeric
@attribute mapredmapreduce.job.maps numeric
@attribute mapredmapreduce.task.combine.progress.records numeric
@attribute mapredyarn.app.mapreduce.am.resource.cpu-vcores numeric
@attribute mapredmapreduce.jobtracker.tasktracker.maxblacklists numeric
@attribute yarnyarn.resourcemanager.max-completed-applications numeric
@attribute mapredmapreduce.reduce.shuffle.fetch.retry.interval-ms numeric
@attribute mapredmapreduce.job.speculative.speculativecap numeric
@attribute mapredyarn.app.mapreduce.client-am.ipc.max-retries numeric
@attribute mapredmapreduce.task.skip.start.attempts numeric
@attribute mapredmapreduce.tasktracker.reduce.tasks.maximum numeric
@attribute mapredmapreduce.jobtracker.handler.count numeric
@attribute mapredmapreduce.map.cpu.vcores numeric
@attribute mapredmapreduce.job.counters.limit numeric
@attribute performance numeric

@data
51899,252335,31331883,43.259176,84.489317,0.587663,133.997369,218933,25.573563,17693,389051,6.371882,0.539165,211.586564,45.532454,1.414126,27031,81.673516,26.056326,218.220389,16.137885,3.76491,117019,197.475755,31.325334,140.471443,78821,53.172373,28868,43.108263,735957,74.701758,1071,207.080502,782028,155.084458,28.99553,141712,34991,6679,0.909611,40.689213,21.192371,24392,11.179695,267.233998,68996,94.952455,2730,96.322183,4.439283,11.132678,0.326459,5.71508,10666,44259,278129,64.395842,2,42925,3286,36.542235,121797,148819,189797,775,12.798899,18.985844,326,0.000157,2043,101.507626,5.4959,42367,12348,108.85722,35.262797,32471,229071,77.684466,35226,416,12210,5.030652,926147,47.597631,79.156195,5693943,32997,87.430307,87.84962,85.81774,55.324703,214211,10287,0.95329,3.347235,33.069962,28931,19.26726,15.784399,10157,3715,0.260107,29.693924,9.272436,40.087646,30.66585,4.660784,963,74
52731,128448,98907953,26.152643,15.220911,0.86266,159.913959,156013,52.576501,28320,104786,28.012277,0.402098,258.409964,39.793087,19.61296,27682,99.094793,30.791922,237.301076,67.67273,13.840645,294981,14.859505,21.537273,42.267741,497857,70.969757,78402,14.340718,576969,95.935639,2722,166.402621,256496,119.05492,37.385498,192271,82420,1895,0.847071,31.954819,99.358498,22979,99.166595,33.257645,31119,77.988697,2280,52.728769,17.278639,70.253306,0.995575,5.407553,7379,99803,129333,77.492407,959,29191,4062,25.410028,86721,336681,39887,9892,37.559787,13.300419,121,0.051358,9418,196.55728,34.565903,28686,6178,146.758653,67.621923,25892,188250,161.192485,21369,792,35911,96.376281,829721,90.035073,73.644774,8958582,16499,43.895398,33.435013,73.761102,44.324408,84677,9142,0.833174,25.186337,40.169006,39166,18.072035,33.943823,14774,2633,0.133652,5.558173,9.138191,7.079292,16.906329,4.111801,38,-1
52965,54822,11153658,43.634456,32.14368,0.693537,143.754896,92086,41.599457,23702,226305,41.189939,0.955716,229.874659,33.7031,5.124732,26593,55.137706,22.709068,304.153408,46.993368,17.886554,286856,245.335333,36.425511,97.85451,717536,64.436951,99786,79.962407,270985,68.666213,1965,306.212808,470516,12.713997,29.65935,102772,19967,5727,0.260069,13.117417,29.943999,25156,99.271701,365.876943,88674,20.607632,2649,72.338295,4.888082,35.601803,0.086863,5.548648,40513,70386,232764,62.483214,182,58178,3736,41.76775,62334,261475,42427,1358,15.953078,1.615831,552,0.55305,9335,160.385859,90.363856,11288,11738,140.173781,2.223451,19647,251878,124.244623,10535,96,21630,92.738641,164318,98.393379,87.404018,15179830,207857,89.28557,4.293746,24.351495,72.260949,239672,9888,0.671617,27.841477,30.564408,13539,27.224977,30.556985,1739,3435,0.66536,27.718493,4.352401,42.996383,21.277123,5.578111,979,-1
53646,62107,103931946,10.694913,41.656378,0.743224,227.661094,42638,51.894572,35317,386915,33.677541,0.593132,83.072828,75.998192,4.293392,27868,78.880161,20.138599,427.535273,53.645567,18.085451,68935,165.874509,27.570391,180.853223,669645,93.544759,42343,35.705734,302452,99.095823,2842,104.180894,213858,168.317132,17.135603,196987,85727,2095,0.855235,8.122199,11.445508,23562,66.349401,293.466677,33584,49.049973,2206,41.470319,59.191717,49.715482,0.079455,3.563356,23165,10214,253186,28.476823,247,45017,4345,19.303489,89732,369857,227578,6061,3.283933,11.111924,65,0.845101,8233,183.119793,61.483009,43704,5195,157.455312,11.379037,53011,104996,130.20023,12759,905,20111,90.293472,608172,72.064082,75.552573,2188564,83028,87.606824,78.758226,64.28975,97.280933,249511,8953,0.815953,23.312182,24.441706,55409,24.359905,17.965074,4644,1537,0.19998,9.613902,15.84133,64.039566,15.960977,3.698884,600,-1
54681,138203,102060990,37.284028,5.703453,0.275781,291.063592,127168,10.671347,35992,312285,5.51874,0.444483,49.748237,66.327831,17.797349,28536,51.569471,9.024853,453.635508,10.31978,5.992279,186216,25.622415,34.579252,68.130076,333287,45.463862,61687,72.255704,781787,75.917969,2589,61.120274,559869,197.950422,33.903835,158459,62025,8546,0.804146,55.882531,16.80852,22767,94.981805,450.16245,78047,41.278813,3068,86.203322,35.391264,20.407772,0.533802,4.681484,36215,90388,291360,51.659342,778,184781,4947,18.564194,91447,290109,68051,7060,23.497031,8.711776,42,0.469828,8423,126.424782,86.133286,44426,6282,184.355298,39.126514,29467,120867,167.068472,33894,350,25244,43.366439,653990,60.852756,96.765757,36863501,75147,77.018379,34.682688,46.028018,63.641342,92370,9484,0.990791,6.726191,23.079254,29233,27.426302,23.791601,9018,2571,0.936725,3.279271,2.92562,70.094159,70.882934,5.129435,620,86
54910,245602,97099429,6.519912,19.236438,0.409721,157.107289,210000,29.312326,20098,5890,3.971192,0.183072,205.32201,23.446861,5.185703,28146,80.837259,7.210283,475.797959,40.285207,15.53613,117943,27.513439,18.81391,102.206813,876971,54.456615,98187,4.95941,500800,19.965686,1380,176.374028,119894,6.242819,23.158959,113427,36259,4132,0.453114,43.478737,56.474072,22021,46.017248,68.844117,51327,66.863949,2632,45.382631,11.658176,76.814377,0.865299,2.264715,4211,78667,163555,33.243883,255,80668,2377,11.311327,283903,60350,76849,2457,13.102531,3.915932,896,0.450849,1521,170.146315,16.220104,21848,6377,140.389322,85.12619,71168,274686,41.495807,13170,616,22980,37.918972,234128,15.080493,51.099246,36326400,225814,82.256994,62.717327,56.701138,99.706291,112220,9062,0.591735,2.687162,12.954152,65477,17.865253,5.239949,16965,9413,0.551476,1.942644,8.602174,50.15876,44.491578,2.72178,628,-1
55467,211739,15886235,4.953418,84.875292,0.167667,325.422015,47219,49.023038,29047,80454,7.991237,0.116562,225.013617,8.737961,19.517468,27691,50.590551,33.413013,224.793301,97.636626,23.733449,131912,238.358919,49.385082,52.585947,567980,61.111463,26963,85.173032,596015,4.909972,1162,161.720302,109778,91.627389,26.825358,106694,86876,2901,0.661103,53.597979,87.740952,24404,87.567992,237.889854,86658,90.623034,1467,71.936783,45.197713,52.827379,0.734399,2.907473,22045,89349,157557,4.336087,636,85237,4643,96.615433,65452,328889,151726,4596,10.925372,4.817432,499,0.973107,9833,162.151793,58.783844,38019,10250,101.277412,95.553166,36789,96680,113.361941,6666,669,40422,36.898428,27563,2.267845,66.468526,12969470,207366,6.340229,29.39785,19.319515,44.956092,113840,9134,0.393811,14.965893,18.342365,45708,21.800806,5.145666,1424,8051,0.051419,12.271258,4.545575,26.210503,6.411074,2.694044,514,-1
56365,117374,72026372,5.283456,39.009674,0.214551,333.954515,150538,53.181482,21668,127174,22.095439,0.617195,157.632795,37.811582,2.263352,26266,14.679721,9.775748,92.20452,2.541348,21.683314,214605,63.637327,3.955282,152.546251,72708,85.645067,72525,16.933277,259507,68.982216,2539,209.775946,758349,183.581663,37.19693,125072,3335,480,0.402991,12.936179,40.964798,23676,24.402185,322.732468,46112,9.625637,2597,87.2974,85.035052,8.405258,0.576494,3.918354,48154,55448,200574,75.115865,312,149641,846,12.39314,33297,358635,277065,8823,20.469338,13.227629,49,0.182679,5352,126.78227,60.003462,27752,14798,112.066502,90.381613,83092,141626,7.668409,25155,43,49252,43.863271,515070,51.803351,51.993597,23722783,35388,7.429921,84.266649,28.349478,81.300234,148154,10590,0.742514,14.056196,28.869514,96116,27.928619,32.115984,17835,8765,0.820847,11.257998,6.600772,14.399506,39.307251,1.421034,257,-1
56514,232164,5892665,20.55291,80.38931,0.912144,229.906024,131968,2.117132,22454,338672,20.607093,0.959952,150.518516,92.218551,18.052423,28197,44.268829,25.097926,350.266763,79.544195,16.999764,219712,91.085712,44.958603,117.82526,457834,23.694692,73764,20.341034,777367,82.392421,2168,307.430428,763241,66.371694,24.379436,196049,13922,6472,0.240963,48.200153,49.757445,23393,68.141794,304.324422,23812,92.72264,1308,34.848509,20.694663,59.925811,0.006164,3.839962,8050,91694,209285,22.598489,519,4844,910,25.874897,261763,154107,243276,4035,31.207516,5.701795,994,0.577399,6326,149.580447,9.237617,6226,15367,138.516022,22.13567,8516,259128,12.938461,1841,720,32815,77.371062,963221,70.47482,47.641969,29410301,144789,79.274108,48.508099,10.603086,91.88446,206558,10476,0.016263,11.346088,24.311545,48287,25.382325,4.796641,7414,4017,0.958234,21.169195,12.895672,16.701197,95.956712,2.046208,152,-1
57385,97257,62912175,21.168572,21.483637,0.024763,214.047293,221668,5.849682,30107,310992,29.758534,0.962863,95.578112,26.006216,1.061369,27356,42.45405,29.923869,312.14209,80.939128,21.04278,159502,209.50601,29.197226,138.608601,330526,56.027971,53168,56.438991,507147,39.623003,1372,339.519375,417192,4.269885,20.932766,141157,95531,7774,0.546677,45.723568,83.321781,23459,28.1272,332.593906,44105,72.451096,2698,83.82453,97.47944,21.466772,0.692578,3.640349,32804,38345,108424,35.685636,39,13447,4929,93.157484,191083,236044,252922,3703,6.117401,5.259458,882,0.846287,7450,190.837144,66.776733,7081,15337,166.029256,95.337168,52288,136759,90.54038,21524,624,21792,71.646307,1060554,89.833619,93.955354,21756934,264199,49.905975,87.64975,34.664936,89.566737,299352,9951,0.971071,21.632833,22.497073,46042,24.328476,6.360637,10539,9453,0.63732,17.721652,19.100599,80.819341,37.732067,5.972408,95,-1
58257,248722,72968996,44.284213,3.728178,0.619616,184.827776,65401,50.078568,37136,229414,4.369628,0.766069,195.377984,28.852481,14.346965,27111,65.299012,34.375692,177.831836,65.209054,19.753146,202382,116.292512,12.162082,199.625978,63322,98.356287,96719,68.572571,711942,82.629392,1594,233.103722,775725,100.810637,25.040032,119401,65983,664,0.044628,79.765179,67.803393,24990,47.831115,253.727701,47572,22.724646,1345,23.15989,81.720633,55.90065,0.000809,2.818326,1969,41893,96526,44.934107,670,49304,1053,85.087993,251965,80970,40792,3796,34.40214,4.624424,973,0.52655,2839,109.296671,82.126701,45480,5975,178.475518,61.842932,41833,167679,43.507253,12581,545,11069,55.639084,254710,9.381963,63.247896,19589325,213133,40.652572,84.746815,44.017271,70.947633,217739,10416,0.064477,28.400396,15.903368,56903,20.418688,36.947881,2049,3653,0.338422,20.066362,7.162672,73.205875,24.168918,1.776445,478,93
58381,284848,6864073,41.032776,91.188653,0.25302,214.245763,148684,33.012053,38158,36766,45.132607,0.972025,175.151694,55.399375,14.751798,26264,43.727821,6.236612,433.462553,79.254383,14.016735,60954,51.145732,7.169687,70.554015,558754,30.231367,67712,18.176461,618506,86.746175,2905,203.348176,320687,33.422735,39.199369,145105,26676,6150,0.824643,99.129518,90.299993,22516,27.075903,12.608348,36610,2.740312,1285,67.682707,55.271854,50.35321,0.192016,5.954003,4875,25218,224119,47.725782,513,29833,4134,30.278643,50864,348970,261900,7028,8.763028,14.659698,219,0.728053,6910,181.072296,87.03469,44654,9002,145.493074,47.168046,12960,92553,190.823191,36798,656,20727,96.650789,1098372,25.903271,74.098419,13710044,80095,70.50275,23.784293,99.123281,80.013054,248489,10920,0.077977,13.099184,49.881055,93686,25.561913,32.139699,9403,9375,0.976844,19.310908,14.796765,27.788697,23.205823,4.880154,298,-1
59402,245104,74709956,2.51131,14.995166,0.149932,398.495784,112156,11.9562,18249,41929,23.829769,0.930931,83.390717,85.167,11.549832,27751,67.680392,26.806663,380.80574,7.297151,21.245794,290744,188.204315,23.435037,185.347874,627244,38.240287,42043,42.647098,437470,25.579062,2731,313.450002,321709,111.456209,35.978554,135106,67938,5847,0.256098,13.873575,49.497253,24366,14.589151,383.684353,73172,21.319656,2157,9.205557,16.385503,94.822769,0.962437,4.65041,21190,17074,77212,79.435479,231,45460,2864,30.744062,71759,158670,78878,4436,38.029381,8.093705,941,0.398832,3771,125.170922,12.39596,19200,11723,187.345909,5.1873,8586,244928,164.862985,30671,112,6070,26.107269,394195,84.309266,66.151847,9026200,165072,89.079086,56.218674,89.436746,44.602608,287393,10972,0.720422,23.381296,6.712013,24848,22.50463,8.246373,17111,8497,0.898925,13.60175,19.310776,86.970628,65.245608,2.977642,423,94
59780,149149,84358681,2.301629,37.275998,0.188514,265.558554,247138,32.44932,27629,252802,30.615074,0.64407,179.436773,62.481196,19.001431,27023,2.518927,34.212078,104.697934,95.351003,14.227474,66523,28.181468,42.396084,141.511458,767798,29.563161,69988,2.00709,580696,99.55474,1480,103.051748,372852,195.266823,22.270169,161784,77753,1176,0.352671,78.550086,8.32194,21658,26.626847,223.817292,5662,95.70973,1616,22.2174,64.017336,19.840904,0.530155,3.549081,14042,63043,97327,97.217649,918,106471,981,78.988073,37569,284942,52789,2881,38.435954,18.4991,681,0.510274,9158,198.719719,57.572942,37660,16086,155.668809,47.031361,3298,265612,25.158063,4529,245,29928,64.580634,1223528,16.159882,73.461254,1337524,222680,83.71568,68.341466,8.700649,55.81277,295981,10177,0.02013,3.26484,34.549853,39941,16.740089,32.575087,14182,3286,0.610453,14.58181,15.46476,78.00746,82.05736,4.257814,612,-1
60268,269747,21636128,23.727676,56.064201,0.608481,208.073858,150824,37.967252,24921,57062,2.600775,0.763429,117.316042,57.093529,8.753265,28035,31.689685,6.729343,493.318723,46.712162,27.728847,100690,178.03467,5.347733,157.853282,65592,76.392915,80028,45.708096,792016,48.069082,1941,79.601584,340008,78.013671,38.376171,131405,59318,3821,0.521354,54.745133,79.290381,23063,25.442796,293.130271,3373,4.055383,1510,34.794851,89.607903,74.326468,0.535788,1.953558,10022,48752,180,66.418185,354,3517,3107,6.092772,248501,216163,166580,8775,31.800864,12.836225,879,0.34643,1959,148.97023,85.415366,39975,10519,172.149331,86.417114,22302,202943,2.889609,15211,382,44117,17.782598,595559,43.017949,69.004474,27435572,249008,56.720357,64.73729,77.589313,58.602675,200823,10624,0.81006,8.352069,32.217776,87418,27.006164,25.852174,9828,3786,0.824842,8.056677,4.263583,90.265686,37.570298,2.381073,20,-1
60886,26070,118929157,16.526333,57.264379,0.335404,186.350547,291918,32.254672,39916,369294,2.051779,0.20041,105.007946,7.512953,14.115021,26171,79.645488,17.532241,128.313429,66.636774,25.915162,247706,229.260924,26.404684,116.315939,121961,28.762535,44907,82.083024,672193,38.733153,2230,140.441884,297367,121.387659,20.789905,126013,69826,4364,0.082207,88.999448,3.810083,25784,13.661409,398.804323,12001,7.27461,1967,74.529725,88.208632,33.328468,0.674596,1.967778,18355,83321,256217,68.564546,257,99080,3388,84.554942,244250,88049,198225,4326,24.190075,7.787362,796,0.943524,7988,161.654634,20.540357,19763,11443,161.22074,83.417466,84786,283244,23.149089,29972,725,14336,69.502483,900047,52.239856,85.912879,12072801,187505,16.017656,35.298901,76.040083,24.093601,233668,10803,0.160506,25.542846,11.783589,38340,28.289387,37.395981,16126,3810,0.316434,22.142461,18.535982,3.997887,79.591209,5.555476,375,-1
61438,270559,25409916,39.829982,97.949499,0.700927,126.339461,103938,31.59814,35405,142207,37.398104,0.985486,64.822622,12.603673,13.587793,27624,89.020046,19.45558,152.51961,59.008968,19.052327,77753,135.241337,44.872445,136.097025,712254,53.355123,32469,92.975605,561730,40.80882,1145,130.936573,356688,163.224492,34.915567,191733,49535,8320,0.652638,58.915075,95.513088,24281,31.338745,357.863134,91482,12.749743,1794,25.784916,95.912816,14.710026,0.40081,5.158766,26999,77493,270384,14.795432,66,33771,1642,2.572259,145137,101117,48416,7141,10.688394,18.326984,366,0.955696,801,159.846616,38.610249,27785,10184,159.470176,94.209888,16363,210646,168.98165,45401,785,4371,9.372028,361940,14.300291,93.22196,14907471,131825,76.213355,2.72401,19.587488,53.972185,195029,9671,0.866813,16.644215,34.794897,96243,26.777656,26.199106,2786,1789,0.979577,12.769707,8.548335,32.203173,74.449988,5.827234,97,83
61907,214727,50106238,9.787872,78.464434,0.220805,127.969637,68437,15.635066,41517,27962,34.625434,0.604783,30.909318,16.37333,13.111065,26350,28.482661,4.653562,322.868212,36.3596,27.039184,197484,202.735044,40.646359,5.033869,794691,17.408431,76074,67.828752,645016,77.483079,2535,376.193612,311687,114.264502,33.432855,199642,73097,1652,0.527853,36.670923,64.184212,23731,47.926295,192.897552,19760,71.538333,2268,21.633958,33.525261,55.295412,0.92097,5.70388,20716,62626,26348,33.383392,120,126212,2012,43.381099,261290,237144,292461,7315,20.792945,11.423244,745,0.488474,9505,183.281684,92.587131,26105,5488,162.478618,80.655451,22514,119122,53.312581,46687,256,32695,82.716601,323027,61.866063,85.190352,19311076,287763,34.02045,89.861987,88.250728,36.220103,116198,9526,0.213042,18.195199,16.275763,30606,25.606986,1.988718,2126,9826,0.670815,29.218661,1.115533,75.675328,26.024338,5.762766,351,-1
62694,208796,29734917,22.108493,68.106895,0.069918,244.137257,246118,32.701515,20147,192140,26.745485,0.688138,78.095143,51.553986,14.027515,28319,8.631034,16.557264,66.888732,80.336456,23.602674,122870,32.707897,36.347882,50.365398,847277,74.469858,2179,46.145395,204315,52.46385,1478,294.950677,205293,171.738237,23.555208,135281,29490,4010,0.495704,73.357833,84.064083,22011,44.878492,110.104382,58462,30.217915,1866,69.301953,16.852193,52.566254,0.057131,5.9853,48886,72749,114818,89.703154,644,97490,4270,73.275318,21873,262133,58177,911,11.022594,16.430262,105,0.988347,3091,146.699641,51.385791,3387,11815,123.915647,81.191428,68286,208768,49.662926,31142,444,12994,60.704951,1120193,40.488772,62.015604,35320969,182977,89.435281,68.554375,65.17877,29.511494,154211,9180,0.325876,19.615255,41.488025,79700,16.994463,39.268919,10853,3345,0.517815,23.670479,12.71563,29.037886,75.935023,3.659758,329,80
63158,102524,9866910,21.88219,13.147803,0.804013,168.978056,41844,20.547954,24115,231151,3.425517,0.631475,70.311887,48.062971,1.088673,26774,73.112795,33.031134,420.851618,12.792608,15.416592,251356,176.065547,12.485184,49.6485,594343,2.600261,86646,82.61442,348160,45.271067,2990,167.216437,146336,13.42872,38.043291,148532,25872,2820,0.698405,70.241651,22.665684,23434,20.780973,346.368149,93949,75.741248,2140,90.075027,12.563939,38.467124,0.274454,5.298566,43923,64506,242183,66.856625,880,154701,1580,42.282371,149479,212456,53712,6142,27.828912,5.915799,685,0.176225,3424,166.450201,41.220732,25323,16030,179.808763,25.152994,6005,223645,178.859484,34046,400,28242,2.420415,1250822,89.099771,60.375472,14345838,30760,9.439767,24.474474,2.925358,46.475913,252940,10576,0.956986,11.225687,25.22831,61381,22.676016,6.448103,12733,3257,0.915766,28.202453,16.989546,19.175974,99.700304,3.475658,215,59
64066,103980,29859755,27.794737,57.901623,0.288093,267.351355,180373,17.687531,18905,110524,45.335228,0.221399,101.974764,46.962992,15.422621,27710,42.294554,14.144767,393.620447,65.688199,18.541256,190509,48.005764,46.960431,185.789862,747071,25.777428,4271,66.97835,272672,43.079362,1940,297.63032,562558,125.201032,29.32272,187154,52034,7098,0.567173,16.554662,63.066518,23455,62.774381,225.357122,45131,24.820809,2572,3.694012,48.458228,77.680528,0.959978,1.726846,49679,60305,292884,60.981212,1014,153916,4225,6.28749,142556,201215,162028,3735,21.527141,18.053639,242,0.155789,8647,114.95092,96.260141,36175,6110,153.724815,80.852708,18486,153646,145.637747,20105,603,39866,22.552883,1047937,70.150686,86.427117,10333494,134815,92.881823,39.268035,5.632024,64.968214,210128,10644,0.364379,6.036369,18.55607,54805,26.146216,19.120501,6802,1501,0.930387,25.942772,16.766104,22.377082,29.160851,5.277419,643,-1
64529,86181,45668173,10.436048,59.329213,0.56148,125.247845,71033,14.569374,44962,47685,10.635553,0.775659,130.05739,10.344034,6.023086,27024,53.909147,37.672202,142.182193,53.732292,23.969758,112476,216.473533,3.814182,148.62312,336420,10.724354,79069,91.448785,714725,9.463142,2289,386.691015,459572,53.58727,25.000659,147519,25403,832,0.200442,80.025661,39.067293,25304,10.590586,169.616633,52213,89.197692,1547,39.603978,54.351518,41.936151,0.522447,5.949244,48957,31755,224816,33.025374,929,191125,4676,83.400136,3963,396012,234043,8188,18.796239,15.615385,293,0.826015,8624,156.988376,32.354291,38453,15988,160.155011,27.28254,36994,104179,139.414183,36059,999,31618,61.595391,706918,59.984441,48.794983,41756074,167538,33.352463,22.067302,47.137274,13.005686,171523,9570,0.309682,8.626174,51.512723,46215,18.012453,25.101871,1222,6259,0.224711,22.243587,2.563673,10.116657,59.937235,1.222436,186,-1
65445,126263,39492830,11.777427,47.337962,0.740898,173.119998,286761,42.789205,26687,99371,18.1379,0.438307,275.433058,38.012288,2.463877,28620,28.848555,15.047308,343.628663,62.686038,10.643759,293114,251.904653,9.133843,97.318163,434917,64.136243,56646,50.922241,276743,87.051991,2353,371.665306,703583,78.655515,18.553932,161809,56277,2048,0.513339,66.477717,37.216917,21660,28.537944,467.719408,6480,71.702919,1754,32.761795,3.420965,87.069377,0.579753,3.964887,48256,86151,223698,30.00846,269,108742,105,28.568984,9253,126411,28144,2171,10.300355,16.856893,330,0.132901,973,133.527185,39.620674,16099,8790,188.63431,35.852881,69729,259693,129.129013,38528,379,13526,81.143912,367967,95.016128,43.238224,16163780,22430,5.466745,43.240232,68.344249,39.027219,235437,9219,0.690863,5.719855,39.325427,56390,18.122705,23.697963,1638,1198,0.823136,9.652721,14.415484,20.123347,24.928238,1.049468,901,-1
