@relation InitialSetByLHS

@attribute write_request_timeout_in_ms numeric
@attribute read_request_timeout_in_ms numeric
@attribute commitlog_total_space_in_mb numeric
@attribute key_cache_size_in_mb numeric
@attribute commitlog_segment_size_in_mb numeric
@attribute dynamic_snitch_badness_threshold numeric
@attribute index_summary_capacity_in_mb numeric
@attribute key_cache_save_period numeric
@attribute file_cache_size_in_mb numeric
@attribute thrift_framed_transport_size_in_mb numeric
@attribute memtable_heap_space_in_mb numeric
@attribute concurrent_writes numeric
@attribute index_summary_resize_interval_in_minutes numeric
@attribute commitlog_sync_period_in_ms numeric
@attribute range_request_timeout_in_ms numeric
@attribute rpc_min_threads numeric
@attribute batch_size_warn_threshold_in_kb numeric
@attribute concurrent_reads numeric
@attribute column_index_size_in_kb numeric
@attribute dynamic_snitch_update_interval_in_ms numeric
@attribute memtable_flush_writers numeric
@attribute request_timeout_in_ms numeric
@attribute cas_contention_timeout_in_ms numeric
@attribute permissions_validity_in_ms numeric
@attribute rpc_max_threads numeric
@attribute truncate_request_timeout_in_ms numeric
@attribute stream_throughput_outbound_megabits_per_sec numeric
@attribute memtable_offheap_space_in_mb numeric
@attribute performance numeric

@data
70232,105081,3367,4143,702,0.920548,1743,11136,14671,3.545352,1647,561,1.343256,123795,86998,70,2957190,763,50066,123482,24.167769,22787,196619,72385,3824,102709,2084,12065,1787.01
74817,185366,6842,10056,756,0.118488,14643,10658,2861,27.166769,235,13,4.026071,168537,190201,60,7875410,1077,25789,257277,26.605199,141091,100828,218079,3350,239344,7510,10880,1793.23
77739,201711,7411,2077,988,0.369304,12256,160,7717,7.169379,15564,1442,4.330065,139528,130492,657,7567940,978,38635,170876,19.879532,90169,210840,150220,1614,245271,2438,12450,1768.89
80944,99349,10867,14575,1878,0.730821,3182,5854,13597,29.022678,15630,1634,4.066273,216253,38727,492,10425502,1989,45257,55383,22.023055,81200,124348,18344,3973,9182,1970,13239,1885.72
82323,69001,14503,3674,820,0.797453,967,8014,3005,4.12952,13018,2567,3.76141,236071,101026,191,1353061,1391,41470,65608,28.897069,264788,34610,267693,3909,25328,2889,1105,1917.28
85597,8750,4902,5872,851,0.947852,5923,9125,6454,22.678116,9972,137,3.961341,155761,65598,900,11709428,71,29401,208752,20.367589,232846,79144,134659,3182,71977,6766,6238,1896.55
88793,175198,1854,13139,204,0.292216,3644,10274,206,20.471395,7288,1652,4.391321,261848,109872,146,10094644,492,3795,57905,6.437789,62132,99165,224062,2142,89787,1764,1344,1432.18
91669,21093,13471,11441,1559,0.126981,6417,1309,11516,24.944984,9551,2490,2.507211,176362,93453,912,4141717,2371,30404,104295,20.612942,249219,252769,113335,2268,262664,2255,15564,2131
92496,142400,12964,7523,1396,0.906123,14399,667,5505,3.24985,12591,2115,3.905198,36767,203977,276,2208167,3367,56417,62897,11.711617,121703,4128,26696,1573,21057,4000,15378,1701.69
95882,64903,11672,461,1414,0.515803,15610,5020,11309,2.022601,13873,952,4.104642,268374,237825,986,9255268,1211,25225,5435,32.153373,19214,180928,227232,3852,166984,3104,3545,1658.49
98685,221705,4147,9496,1685,0.912472,9120,2579,12572,18.275594,79,3017,3.219445,214080,201085,6,13673968,3085,51895,129316,27.408044,66453,123715,193843,2617,74626,2016,14281,-1
101198,55105,2614,735,502,0.863894,5633,9417,6252,16.570351,14329,1594,3.467961,220460,84365,329,3902472,2602,60782,184949,27.075078,93456,117029,139415,3480,110732,2690,2479,1810.52
102942,154529,1441,14650,1046,0.897855,13885,11736,8212,20.201274,13725,3422,4.939749,190423,31379,345,14776445,3535,50693,175807,10.003134,244801,50971,67364,3523,5629,4155,7736,1390.06
105446,32814,16286,5390,796,0.664522,10013,11956,9966,4.242411,5859,285,1.699556,244391,255878,832,3393648,1725,8068,28627,27.730361,260918,14487,185996,2073,36473,4396,13459,1897.15
109735,253122,15807,10424,622,0.415583,5797,12553,6654,5.427885,14704,752,3.24473,24953,60079,319,13921576,2710,17199,227945,8.334415,181037,106498,205195,1995,174512,7682,12271,1617.39
112535,81431,13118,12393,1750,0.606395,8415,2343,7550,17.606699,11855,3789,1.141851,58514,153735,646,14291141,744,17932,223710,14.478356,138492,114237,182481,2233,260679,5806,1198,1889.92
115625,178492,5551,4662,1849,0.646405,9601,1166,3872,13.364921,7937,57,4.911661,42568,226261,471,13377049,2181,2859,140618,30.564087,222558,234566,241455,1675,129877,1463,12622,1690.7
118753,132142,1748,6495,46,0.268062,8718,5109,1699,29.642693,8596,2220,2.468466,145153,74157,519,8175811,2409,11700,179379,21.638947,115089,216009,157163,1807,13085,5420,13883,1679.79
119374,228516,14368,9506,101,0.635375,13605,8828,10056,1.35016,4885,1981,1.971,2119,116973,764,5098692,2028,61624,202218,26.133463,18410,246414,210415,1402,156947,1014,775,1541.63
121885,118179,14871,2950,1382,0.180084,8523,3631,2309,19.175281,10368,3350,4.646292,6745,2996,922,803487,531,12022,50501,5.049096,133888,180088,212203,1526,185285,1224,3648,1690.26
124613,224293,12170,6021,1729,0.706232,15938,13829,6980,6.627473,9341,900,4.606437,59497,22858,1001,3756320,353,20574,94649,16.094095,262225,963,85071,2020,232410,6952,11438,2051.77
128611,195396,12394,9239,239,0.172599,5505,7106,16298,6.234269,1103,3070,4.970191,53300,45465,582,5028162,3289,59035,155841,14.763245,44855,170451,264220,3746,208514,7850,11696,1484.03
